 Time, $\theta_1$, $\theta_2$, Energy violation
  1.6730468750000000E+01, -9.7331314773458721E-01,  1.1491083938952047E+00,  6.6613381477509392E-16
  1.6734375000000000E+01, -9.7142756618056592E-01,  1.1521497888160945E+00,  6.6613381477509392E-16
  1.6738281250000000E+01, -9.6943684720892775E-01,  1.1551064812555767E+00,  6.6613381477509392E-16
  1.6742187500000000E+01, -9.6734161347873870E-01,  1.1579776978965581E+00,  8.8817841970012523E-16
  1.6746093750000000E+01, -9.6514249398968710E-01,  1.1607626341246855E+00,  6.6613381477509392E-16
  1.6750000000000000E+01, -9.6284012374730066E-01,  1.1634604547024943E+00,  8.8817841970012523E-16
  1.6753906250000000E+01, -9.6043514339525837E-01,  1.1660702944513788E+00,  6.6613381477509392E-16
  1.6757812500000000E+01, -9.5792819881496705E-01,  1.1685912589410417E+00,  8.8817841970012523E-16
  1.6761718750000000E+01, -9.5531994069257276E-01,  1.1710224251860222E+00,  6.6613381477509392E-16
  1.6765625000000000E+01, -9.5261102405357789E-01,  1.1733628423488369E+00,  6.6613381477509392E-16
  1.6769531250000000E+01, -9.4980210776523888E-01,  1.1756115324491951E+00,  8.8817841970012523E-16
  1.6773437500000000E+01, -9.4689385400692505E-01,  1.1777674910786837E+00,  6.6613381477509392E-16
  1.6777343750000000E+01, -9.4388692770862614E-01,  1.1798296881202390E+00,  8.8817841970012523E-16
  1.6781250000000000E+01, -9.4078199595780798E-01,  1.1817970684716477E+00,  6.6613381477509392E-16
  1.6785156250000000E+01, -9.3757972737482564E-01,  1.1836685527722319E+00,  8.8817841970012523E-16
  1.6789062500000000E+01, -9.3428079145711940E-01,  1.1854430381317962E+00,  6.6613381477509392E-16
  1.6792968750000000E+01, -9.3088585789243383E-01,  1.1871193988608177E+00,  8.8817841970012523E-16
  1.6796875000000000E+01, -9.2739559584131881E-01,  1.1886964872007739E+00,  6.6613381477509392E-16
  1.6800781250000000E+01, -9.2381067318918975E-01,  1.1901731340534021E+00,  6.6613381477509392E-16
  1.6804687500000000E+01, -9.2013175576824557E-01,  1.1915481497075895E+00,  6.6613381477509392E-16
  1.6808593750000000E+01, -9.1635950654956433E-01,  1.1928203245624869E+00,  6.6613381477509392E-16
